,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ALMENDRAS (IMPORTADAS) *,,,,,,2026-03-31,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,KG,BULTO,,KG,BULTO
ALMENDRA NON PAREIL MEDIANA X 9 KG,10 BOLSAS X 900 GR,,"$ 19.559,79","$ 195.597,94",,"$ 24.058,55","$ 240.585,46"
HARINA ALMENDRA C/PIEL X 9 KG - NACIONAL S/T,10 BOLSAS X 900 GR,,"$ 18.128,88","$ 181.288,85",,"$ 22.298,53","$ 222.985,28"
HARINA ALMENDRA S/PIEL X 9 KG - NACIONAL S/T,10 BOLSAS X 900 GR,,"$ 17.200,59","$ 172.005,93",,"$ 21.156,73","$ 211.567,30"
"NUEZ, ALMENDRA Y HARINAS (SIN T.A.C.C.) - CAJA 9,6 KG",,,,,,,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,UNIDAD,BULTO,,UNIDAD,BULTO
"NUEZ EXTRA LIGHT X 9,6 KG",24 BOLSAS x 400 GR,,"$ 9.560,82","$ 229.459,64",,"$ 11.759,81","$ 282.235,36"
"ALMENDRA NON PAREIL MEDIANA X 9,6 KG",24 BOLSAS x 400 GR,,"$ 9.301,00","$ 223.224,03",,"$ 11.440,23","$ 274.565,55"
"HARINA ALMENDRA C/PIEL X 9,6 KG - NACIONAL",24 BOLSAS x 400 GR,,"$ 8.640,58","$ 207.373,96",,"$ 10.627,92","$ 255.069,97"
"HARINA ALMENDRA S/PIEL X 9,6 KG - NACIONAL S/T",24 BOLSAS x 400 GR,,"$ 8.212,14","$ 197.091,34",,"$ 10.100,93","$ 242.422,35"
FRUTOS SECOS POR KG,,,,,,,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,KG,BULTO,,KG,BULTO
NUEZ EXTRA LIGHT X KG,1 BOLSA x 1KG,,"$ 21.736,00","$ 21.736,00",,"$ 24.561,68","$ 24.561,68"
ALMENDRA NON PAREIL MEDIANA X KG,1 BOLSA x 1KG,,"$ 24.655,75","$ 24.655,75",,"$ 27.860,99","$ 27.860,99"
CASTA├æA DE CAJ├Ü DE VIETNAM,1 BOLSA x 1KG,,"$ 16.680,22","$ 16.680,22",,"$ 18.848,65","$ 18.848,65"
AR├üNDANOS SLICE,1 BOLSA x 1KG,,"$ 13.471,52","$ 13.471,52",,"$ 15.222,82","$ 15.222,82"
AVELLANAS NATURAL CAL 15+ X KG,1 BOLSA x 1KG,,"$ 40.600,00","$ 40.600,00",,"$ 45.878,00","$ 45.878,00"
CHIPS DE BANANA (FILIPINAS),1 BOLSA x 1KG,,"$ 12.892,67","$ 12.892,67",,"$ 14.568,71","$ 14.568,71"
COCO RALLADO MID FAT X KG,1 BOLSA x 1KG,,"$ 9.116,23","$ 9.116,23",,"$ 10.301,34","$ 10.301,34"
MA├ìZ FRITO Y SALADO ORIGINAL X KG,1 BOLSA x 1KG,,"$ 10.291,48","$ 10.291,48",,"$ 11.629,38","$ 11.629,38"
MAN├ì CON SAL X KG,1 BOLSA x 1KG,,"$ 3.211,16","$ 3.211,16",,"$ 3.628,62","$ 3.628,62"
MAN├ì SIN SAL X KG,1 BOLSA x 1KG,,"$ 3.220,12","$ 3.220,12",,"$ 3.638,74","$ 3.638,74"
FRUTOS SECOS BOLSAS POR 5KG,,,,,,,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,KG,BULTO,,KG,BULTO
NUEZ EXTRA LIGHT X 5KG,1 BOLSA x 5KG,,"$ 19.562,40","$ 97.812,00",,"$ 22.105,51","$ 110.527,56"
ALMENDRA NON PAREIL MEDIANA X 5KG,1 BOLSA x 5KG,,"$ 22.190,17","$ 110.950,86",,"$ 25.074,89","$ 125.374,47"
CASTA├æA DE CAJ├Ü DE VIETNAM X 5KG,1 BOLSA x 5KG,,"$ 15.012,20","$ 75.060,99",,"$ 16.963,78","$ 84.818,91"
AR├üNDANOS SLICE X 5KG,1 BOLSA x 5KG,,"$ 12.124,37","$ 60.621,86",,"$ 13.700,54","$ 68.502,70"
AVELLANAS NATURAL CAL 15+ X 5 KG,1 BOLSA x 5KG,,"$ 36.540,00","$ 182.700,00",,"$ 41.290,20","$ 206.451,00"
CHIPS DE BANANA (FILIPINAS) X 5 KG,1 BOLSA x 5KG,,"$ 11.603,40","$ 58.016,99",,"$ 13.111,84","$ 65.559,20"
COCO RALLADO MID FAT X 5KG,1 BOLSA x 5KG,,"$ 8.204,61","$ 41.023,04",,"$ 9.271,21","$ 46.356,04"
